id;location_string;source;destination;source_zone;destination_zone;rate;min_rate;eco_min;eco_max
1;BFNBFN-Zone 1-Zone 1;BFN;BFN;Zone 1;Zone 1;0.83;560;1;1000
2;BFNCPT-Zone 1-Zone 1;BFN;CPT;Zone 1;Zone 1;1.59;1800;1;1000
3;BFNDUR-Zone 1-Zone 1;BFN;DUR;Zone 1;Zone 1;1.47;1500;1;1000
4;BFNELS-Zone 1-Zone 1;BFN;ELS;Zone 1;Zone 1;2.01;1300;1;1000
5;BFNGRG-Zone 1-Zone 1;BFN;GRG;Zone 1;Zone 1;2.13;1500;1;1000
6;BFNJNB-Zone 1-Zone 1;BFN;JNB;Zone 1;Zone 1;1.47;1500;1;1000
7;BFNKIM-Zone 1-Zone 1;BFN;KIM;Zone 1;Zone 1;1.35;800;1;1000
8;BFNKLD-Zone 1-Zone 1;BFN;KLD;Zone 1;Zone 1;1.41;1000;1;1000
9;BFNNLP-Zone 1-Zone 1;BFN;NLP;Zone 1;Zone 1;1.65;1500;1;1000
10;BFNPLZ-Zone 1-Zone 1;BFN;PLZ;Zone 1;Zone 1;1.95;1300;1;1000
11;BFNPTG-Zone 1-Zone 1;BFN;PTG;Zone 1;Zone 1;1.65;2000;1;1000
12;CPTBFN-Zone 1-Zone 1;CPT;BFN;Zone 1;Zone 1;1.59;1800;1;1000
13;CPTCPT-Zone 1-Zone 1;CPT;CPT;Zone 1;Zone 1;0.35;356;1;1000
14;CPTDUR-Zone 1-Zone 1;CPT;DUR;Zone 1;Zone 1;1.53;2150;1;1000
15;CPTELS-Zone 1-Zone 1;CPT;ELS;Zone 1;Zone 1;1.95;2300;1;1000
16;CPTGRG-Zone 1-Zone 1;CPT;GRG;Zone 1;Zone 1;2.31;1400;1;1000
17;CPTJNB-Zone 1-Zone 1;CPT;JNB;Zone 1;Zone 1;1.96;2035;1;1000
18;CPTKIM-Zone 1-Zone 1;CPT;KIM;Zone 1;Zone 1;2.13;1800;1;1000
19;CPTKLD-Zone 1-Zone 1;CPT;KLD;Zone 1;Zone 1;1.71;1000;1;1000
20;CPTNLP-Zone 1-Zone 1;CPT;NLP;Zone 1;Zone 1;2.25;2700;1;1000
21;CPTPLZ-Zone 1-Zone 1;CPT;PLZ;Zone 1;Zone 1;2.01;2035;1;1000
22;CPTPTG-Zone 1-Zone 1;CPT;PTG;Zone 1;Zone 1;2.25;2700;1;1000
23;DURBFN-Zone 1-Zone 1;DUR;BFN;Zone 1;Zone 1;1.47;1500;1;1000
24;DURCPT-Zone 1-Zone 1;DUR;CPT;Zone 1;Zone 1;1.53;2150;1;1000
25;DURDUR-Zone 1-Zone 1;DUR;DUR;Zone 1;Zone 1;0.35;356;1;1000
26;DURELS-Zone 1-Zone 1;DUR;ELS;Zone 1;Zone 1;1.71;1500;1;1000
27;DURGRG-Zone 1-Zone 1;DUR;GRG;Zone 1;Zone 1;2.19;2150;1;1000
28;DURJNB-Zone 1-Zone 1;DUR;JNB;Zone 1;Zone 1;0.89;1305;1;1000
29;DURKIM-Zone 1-Zone 1;DUR;KIM;Zone 1;Zone 1;2.25;1700;1;1000
30;DURKLD-Zone 1-Zone 1;DUR;KLD;Zone 1;Zone 1;1.95;1500;1;1000
31;DURNLP-Zone 1-Zone 1;DUR;NLP;Zone 1;Zone 1;2.07;1500;1;1000
32;DURPLZ-Zone 1-Zone 1;DUR;PLZ;Zone 1;Zone 1;1.77;1800;1;1000
33;DURPTG-Zone 1-Zone 1;DUR;PTG;Zone 1;Zone 1;2.07;2000;1;1000
34;ELSBFN-Zone 1-Zone 1;ELS;BFN;Zone 1;Zone 1;2.01;1300;1;1000
35;ELSCPT-Zone 1-Zone 1;ELS;CPT;Zone 1;Zone 1;1.95;2300;1;1000
36;ELSDUR-Zone 1-Zone 1;ELS;DUR;Zone 1;Zone 1;1.71;1500;1;1000
37;ELSELS-Zone 1-Zone 1;ELS;ELS;Zone 1;Zone 1;0.95;560;1;1000
