id;location_string;source;destination;source_zone;destination_zone;rate;min_rate;eco_min;eco_max;ex_rate;ex_min_rate
1;BFNBFN-Zone 1-Zone 1;BFN;BFN;Zone 1;Zone 1;0.83;560;1;1000;1.59;1800
2;BFNCPT-Zone 1-Zone 1;BFN;CPT;Zone 1;Zone 1;1.59;1800;1;1000;1.47;1500
3;BFNDUR-Zone 1-Zone 1;BFN;DUR;Zone 1;Zone 1;1.47;1500;1;1000;2.01;1300
4;BFNELS-Zone 1-Zone 1;BFN;ELS;Zone 1;Zone 1;2.01;1300;1;1000;2.13;1500
5;BFNGRG-Zone 1-Zone 1;BFN;GRG;Zone 1;Zone 1;2.13;1500;1;1000;1.47;1500
6;BFNJNB-Zone 1-Zone 1;BFN;JNB;Zone 1;Zone 1;1.47;1500;1;1000;1.35;800
7;BFNKIM-Zone 1-Zone 1;BFN;KIM;Zone 1;Zone 1;1.35;800;1;1000;1.41;1000
8;BFNKLD-Zone 1-Zone 1;BFN;KLD;Zone 1;Zone 1;1.41;1000;1;1000;1.65;1500
9;BFNNLP-Zone 1-Zone 1;BFN;NLP;Zone 1;Zone 1;1.65;1500;1;1000;1.95;1300
10;BFNPLZ-Zone 1-Zone 1;BFN;PLZ;Zone 1;Zone 1;1.95;1300;1;1000;1.65;2000
11;BFNPTG-Zone 1-Zone 1;BFN;PTG;Zone 1;Zone 1;1.65;2000;1;1000;1.59;1800
12;CPTBFN-Zone 1-Zone 1;CPT;BFN;Zone 1;Zone 1;1.59;1800;1;1000;0.35;356
13;CPTCPT-Zone 1-Zone 1;CPT;CPT;Zone 1;Zone 1;0.35;356;1;1000;1.53;2150
14;CPTDUR-Zone 1-Zone 1;CPT;DUR;Zone 1;Zone 1;1.53;2150;1;1000;1.95;2300
15;CPTELS-Zone 1-Zone 1;CPT;ELS;Zone 1;Zone 1;1.95;2300;1;1000;2.31;1400
16;CPTGRG-Zone 1-Zone 1;CPT;GRG;Zone 1;Zone 1;2.31;1400;1;1000;1.96;2035
17;CPTJNB-Zone 1-Zone 1;CPT;JNB;Zone 1;Zone 1;1.96;2035;1;1000;2.13;1800
18;CPTKIM-Zone 1-Zone 1;CPT;KIM;Zone 1;Zone 1;2.13;1800;1;1000;1.71;1000
19;CPTKLD-Zone 1-Zone 1;CPT;KLD;Zone 1;Zone 1;1.71;1000;1;1000;2.25;2700
20;CPTNLP-Zone 1-Zone 1;CPT;NLP;Zone 1;Zone 1;2.25;2700;1;1000;2.01;2035
21;CPTPLZ-Zone 1-Zone 1;CPT;PLZ;Zone 1;Zone 1;2.01;2035;1;1000;2.25;2700
22;CPTPTG-Zone 1-Zone 1;CPT;PTG;Zone 1;Zone 1;2.25;2700;1;1000;1.47;1500
23;DURBFN-Zone 1-Zone 1;DUR;BFN;Zone 1;Zone 1;1.47;1500;1;1000;1.53;2150
24;DURCPT-Zone 1-Zone 1;DUR;CPT;Zone 1;Zone 1;1.53;2150;1;1000;0.35;356
25;DURDUR-Zone 1-Zone 1;DUR;DUR;Zone 1;Zone 1;0.35;356;1;1000;1.71;1500
26;DURELS-Zone 1-Zone 1;DUR;ELS;Zone 1;Zone 1;1.71;1500;1;1000;2.19;2150
27;DURGRG-Zone 1-Zone 1;DUR;GRG;Zone 1;Zone 1;2.19;2150;1;1000;0.89;1305
28;DURJNB-Zone 1-Zone 1;DUR;JNB;Zone 1;Zone 1;0.89;1305;1;1000;2.25;1700
29;DURKIM-Zone 1-Zone 1;DUR;KIM;Zone 1;Zone 1;2.25;1700;1;1000;1.95;1500
30;DURKLD-Zone 1-Zone 1;DUR;KLD;Zone 1;Zone 1;1.95;1500;1;1000;2.07;1500
31;DURNLP-Zone 1-Zone 1;DUR;NLP;Zone 1;Zone 1;2.07;1500;1;1000;1.77;1800
32;DURPLZ-Zone 1-Zone 1;DUR;PLZ;Zone 1;Zone 1;1.77;1800;1;1000;2.07;2000
33;DURPTG-Zone 1-Zone 1;DUR;PTG;Zone 1;Zone 1;2.07;2000;1;1000;2.01;1300
34;ELSBFN-Zone 1-Zone 1;ELS;BFN;Zone 1;Zone 1;2.01;1300;1;1000;1.95;2300
35;ELSCPT-Zone 1-Zone 1;ELS;CPT;Zone 1;Zone 1;1.95;2300;1;1000;1.71;1500
36;ELSDUR-Zone 1-Zone 1;ELS;DUR;Zone 1;Zone 1;1.71;1500;1;1000;0.95;560
37;ELSELS-Zone 1-Zone 1;ELS;ELS;Zone 1;Zone 1;0.95;560;1;1000;1.95;1000
38;ELSGRG-Zone 1-Zone 1;ELS;GRG;Zone 1;Zone 1;1.95;1000;1;1000;2.13;2300
39;ELSJNB-Zone 1-Zone 1;ELS;JNB;Zone 1;Zone 1;2.13;2300;1;1000;2.73;1500
40;ELSKIM-Zone 1-Zone 1;ELS;KIM;Zone 1;Zone 1;2.73;1500;1;1000;2.19;2035
41;ELSKLD-Zone 1-Zone 1;ELS;KLD;Zone 1;Zone 1;2.19;2035;1;1000;2.55;2700
42;ELSNLP-Zone 1-Zone 1;ELS;NLP;Zone 1;Zone 1;2.55;2700;1;1000;1.35;800
43;ELSPLZ-Zone 1-Zone 1;ELS;PLZ;Zone 1;Zone 1;1.35;800;1;1000;2.61;2700
44;ELSPTG-Zone 1-Zone 1;ELS;PTG;Zone 1;Zone 1;2.61;2700;1;1000;2.13;1500
45;GRGBFN-Zone 1-Zone 1;GRG;BFN;Zone 1;Zone 1;2.13;1500;1;1000;2.31;1400
46;GRGCPT-Zone 1-Zone 1;GRG;CPT;Zone 1;Zone 1;2.31;1400;1;1000;2.19;2150
47;GRGDUR-Zone 1-Zone 1;GRG;DUR;Zone 1;Zone 1;2.19;2150;1;1000;1.95;1000
