id;location_string;source;destination;source_zone;destination_zone;eco_rate;eco_min_rate;eco_min;eco_max;exp_rate;exp_min_rate;exp_min;exp_max;mod_of_trans
1;BFNBFN-Zone1-Zone1;BFN;BFN;Zone 1;Zone 1;0.83;560;1;1000;1.74;700;1;1000;S
2;BFNCPT-Zone1-Zone1;BFN;CPT;Zone 1;Zone 1;1.59;1800;1;1000;18.44;2250;1;1000;S
3;BFNDUR-Zone1-Zone1;BFN;DUR;Zone 1;Zone 1;1.47;1500;1;1000;13.31;1875;1;1000;S
4;BFNELS-Zone1-Zone1;BFN;ELS;Zone 1;Zone 1;2.01;1300;1;1000;18.44;1625;1;1000;S
5;BFNGRG-Zone1-Zone1;BFN;GRG;Zone 1;Zone 1;2.13;1500;1;1000;36.89;1875;1;1000;S
6;BFNJNB-Zone1-Zone1;BFN;JNB;Zone 1;Zone 1;1.47;1500;1;1000;18.44;1875;1;1000;S
7;BFNKIM-Zone1-Zone1;BFN;KIM;Zone 1;Zone 1;1.35;800;1;1000;22.67;1000;1;1000;S
8;BFNKLD-Zone1-Zone1;BFN;KLD;Zone 1;Zone 1;1.41;1000;1;1000;21.28;1250;1;1000;S
9;BFNNLP-Zone1-Zone1;BFN;NLP;Zone 1;Zone 1;1.65;1500;1;1000;21.53;1875;1;1000;S
10;BFNPLZ-Zone1-Zone1;BFN;PLZ;Zone 1;Zone 1;1.95;1300;1;1000;18.44;1625;1;1000;S
11;BFNPTG-Zone1-Zone1;BFN;PTG;Zone 1;Zone 1;1.65;2000;1;1000;21.53;2500;1;1000;S
12;CPTBFN-Zone1-Zone1;CPT;BFN;Zone 1;Zone 1;1.59;1800;1;1000;18.44;2250;1;1000;S
13;CPTCPT-Zone1-Zone1;CPT;CPT;Zone 1;Zone 1;0.35;356;1;1000;0.56;569;1;1000;S
14;CPTDUR-Zone1-Zone1;CPT;DUR;Zone 1;Zone 1;1.53;2150;1;1000;13.99;2688;1;1000;S
15;CPTELS-Zone1-Zone1;CPT;ELS;Zone 1;Zone 1;1.95;2300;1;1000;18.44;2875;1;1000;S
16;CPTGRG-Zone1-Zone1;CPT;GRG;Zone 1;Zone 1;2.31;1400;1;1000;36.89;1750;1;1000;S
17;CPTJNB-Zone1-Zone1;CPT;JNB;Zone 1;Zone 1;1.96;2035;1;1000;2.45;2544;1;1000;S
